course_id,course_code,course_title,course_description,created_at
0,0,CS50's Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,2025-10-29 22:42:30
1,1,Harvard CS50  Full Computer Science University Course,"Learn the basics of computer science from Harvard University. This is CS50, an introduction to the intellectual enterprises of computer science and the art of programming.",2025-10-29 22:42:30
2,2,Introduction to Computer Science and Programming Using Python,An introduction to computer science as a tool to solve real-world analytical problems using Python 3.5.,2025-10-29 22:42:30
3,3,Introduction to Electrical Engineering and Computer Science I,"This course provides an integrated introduction to electrical engineering and computer science, taught using substantial laboratory experiments with mobile robots.",2025-10-29 22:42:30
4,4,CS50's Computer Science for Business Professionals,This is CS50s introduction to computer science for business professionals.,2025-10-29 22:42:30
5,5,"Internet History, Technology, and Security","This course will open up the Internet and show you how it was created, who created it and how it works. Along the way we will meet many of the innovators who developed the Internet and Web technologies that we use today.",2025-10-29 22:42:30
6,6,Computer Science 101,Introduction to Computer Science for a zero-prior-experience audience. Play with little phrases of code to understand what computers are all about.,2025-10-29 22:42:30
7,7,Computational Social Science Methods,"Explore computational social science's impact on society, covering data science, machine learning, social networks, and simulations. Gain insights into digital footprints and emerging social patterns.",2025-10-29 22:42:30
8,8,Functional Programming Principles in Scala,In this course you will discover the elements of the functional programming style and learn how to apply them usefully in your daily programming tasks.,2025-10-29 22:42:30
9,9,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),"Hands-on journey to build a modern computer system from logic gates to a functioning general-purpose computer, covering hardware, machine language, and assembly.",2025-10-29 22:42:30
10,10,Computer Simulations,"Explore complex social phenomena through computer simulations. Learn to create and analyze agent-based models, combining hypothetical scenarios with real-world data to study and improve societal systems.",2025-10-29 22:42:30
11,11,Introduction to Computer Science and Programming in Python,The course is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students.,2025-10-29 22:42:30
12,12,An Introduction to Logic for Computer Science,"Explore propositional logic fundamentals and applications in computer science, enhancing problem-solving skills through hands-on exercises and real-world examples.",2025-10-29 22:42:30
13,13,CS50's Computer Science for Lawyers,"This course is a variant of Harvard University's introduction to computer science, CS50, designed especially for lawyers (and law students).",2025-10-29 22:42:30
14,14,Computational Social Science Capstone Project,"Integrative lab applying computational social science skills: web scraping, network analysis, NLP, and agent-based modeling to analyze social media data and simulate idea diffusion.",2025-10-29 22:42:30
15,15,CSS Variable Secrets - Harnessing the Full Power of Custom Properties,"Unlock the full potential of CSS custom properties with expert tips, tricks, and gotchas. Gain a deeper understanding and refresh your CSS toolbox in this interactive journey from practical to cutting-edge techniques.",2025-10-29 22:42:30
16,16,Machine Learning - Lecture 2,"Explore machine learning fundamentals, focusing on linear regression, gradient descent, and model evaluation techniques for predictive analysis and data-driven decision making.",2025-10-29 22:42:30
17,17,"CSS Position Deep Dive - Understanding Static, Relative, Absolute, Fixed, and Sticky","Comprehensive exploration of CSS positioning properties, covering static, relative, absolute, fixed, and sticky, with practical examples and insights into containing blocks and potential pitfalls.",2025-10-29 22:42:30
19,19,You Probably Want Position- Sticky Instead of Fixed,"Explore the differences between position: fixed and sticky in CSS, with practical examples and creative use cases for sticky positioning in web design.",2025-10-29 22:42:30
20,20,CSS Background Values: Space and Round - Enhancing Image Repetition,"Discover lesser-known CSS background values: space and round. Learn their unique behaviors, browser support, and practical applications to enhance your web designs.",2025-10-29 22:42:30
21,21,Creating a Cool Bubble Zoom Effect with CSS,"Learn to create an engaging bubble zoom effect using CSS, including grid animations, avatar scaling, and transition delays for a dynamic and interactive design.",2025-10-29 22:42:30
22,22,Cloning CSS Day Effect Using Modern CSS,"Learn to recreate a fun CSS effect from CSS Day using modern techniques. Explore grid layouts, image positioning, and hover effects to enhance your web design skills.",2025-10-29 22:42:30
23,23,Start Over-Engineering Your CSS - Benefits and Techniques,"Explore the benefits of embracing complexity in CSS solutions, deepening understanding and creating robust alternatives to simple approaches.",2025-10-29 22:42:30
24,24,Simple Details and Summary Animation with Pure CSS,"Master modern CSS techniques to create smooth animations for details/summary elements, exploring interpolate-size and pseudo-elements for enhanced user interactions.",2025-10-29 22:42:30
26,26,Master CSS Overflow and Text Wrapping Techniques for Senior Developers,"Discover advanced CSS overflow and text wrapping techniques, including lesser-known properties like overflow-anchor, word-break, and line-clamp, to enhance your web development skills.",2025-10-29 22:42:30
27,27,7 CSS Responsive Sizing Features You Should Know,"Discover 7 essential CSS responsive sizing features for optimal element sizing and layout control, enhancing your web design skills and site functionality.",2025-10-29 22:42:30
28,28,CSS Popover and Anchor Positioning Tutorial - Creating Dynamic Element Connections,"Master CSS anchor positioning and popover functionality to create dynamic, position-aware elements with modern techniques and polyfills for cross-browser compatibility and smooth animations.",2025-10-29 22:42:30
29,29,Creating a Rotating Gradient Border Effect with CSS,"Master CSS gradient animations by recreating a rotating, blurred border effect with conic gradients, masks, and pseudo-elements. Learn advanced techniques for creating dynamic visual effects through practical implementation.",2025-10-29 22:42:30
31,31,CSS scope: Simplifying Naming and Specificity Management,"Explore scope in CSS: simplify naming, manage specificity, and enhance style organization. Learn its benefits, usage, and potential challenges in this comprehensive guide.",2025-10-29 22:42:30
32,32,5 Common CSS Mistakes Beginners Should Avoid,"Learn to avoid common CSS pitfalls, including collapsing margins, overusing positioning, and misusing flexbox/grid. Gain insights on best practices for efficient and effective styling.",2025-10-29 22:42:30
33,33,Transitioning To and From Display: None in CSS,"Learn to smoothly animate elements between visible and hidden states using CSS transitions and the new starting-style rule, with tips on browser support and best practices.",2025-10-29 22:42:30
34,34,property - One of the Coolest New CSS Features,"Explore the revolutionary property CSS feature, its potential impact, and how to effectively implement it in your web development projects.",2025-10-29 22:42:30
35,35,Dynamic Numbering with CSS Counters,"Explore dynamic numbering with CSS counters, from basic implementation to advanced techniques. Learn to create, increment, and customize counters for enhanced web design.",2025-10-29 22:42:30
