course,skills_taught,skills_in_market,score
0,"algorithmic thinking, basic data structures, control flow, debugging, functions, problem decomposition, programming fundamentals",,52.0
1,"algorithms and data structures, c programming, flask, html css, javascript, python, sql",,96.0
2,"algorithmic thinking, analytical problem solving, computer science fundamentals, control flow, python, variables and data types",,16.0
3,"basic circuit design, embedded systems, feedback control systems, microcontroller programming, robotics algorithms, robotics programming, sensor integration",,25.0
4,"algorithms, c programming, computational thinking, data structures, python, sql, web development",,85.0
5,"clientserver model, domain name system, http protocol, internet architecture, network protocols, packet switching, web technologies",,13.0
6,"basic algorithms, computational thinking, control flow, data types, debugging, functions, variables",,39.0
7,"computational social science, data analysis, data science, digital footprint analysis, machine learning, simulation modeling, social network analysis",,55.0
8,"function composition, functional programming, higherorder functions, immutability, lambda functions, pure functions, recursion",,27.0
9,"assembly language programming, computer architecture, computer organization, digital logic design, hardware simulation, instruction set architecture, machine language",,24.0
10,"agentbased modeling, complex systems modeling, computer simulation, data analysis, model validation, python",,61.0
11,"algorithmic problem solving, computational thinking, control flow, functions, problem decomposition, programming fundamentals, variables and data types",,24.0
12,"boolean algebra, formal verification, logical reasoning, propositional logic, symbolic logic, truth tables",,16.0
13,"algorithms, c programming, computational thinking, data structures, python, sql, web development",,85.0
14,"agentbased modeling, data simulation, natural language processing, network analysis, python, social media data analysis, web scraping",,57.0
15,"advanced css techniques, css, css custom properties, css theming, css variables, dynamic styling, scalable css",,38.0
16,"data analysis, gradient descent, linear regression, machine learning, model evaluation, predictive analysis",,63.0
17,"absolute positioning, containing blocks, css, css positioning, fixed positioning, relative positioning, static positioning, sticky positioning",,12.0
19,"css, css fixed positioning, css positioning, css sticky positioning, frontend development, html, web layout",,42.0
20,"backgroundrepeat property, crossbrowser compatibility, css, css background patterns, css background properties, css rendering behavior",,33.0
21,"css, css animations, css grid layout, css scaling, css transforms, css transitiondelay, css transitions",,14.0
22,"css, css grid layout, css hover effects, css positioning, css transitions, frontend development, html",,42.0
23,"advanced css selectors, css architecture, css custom properties, css flexbox, css grid, css specificity, responsive web design",,26.0
24,"css, css animations, css property interpolation, css pseudoelements, css transitions, html, html detailssummary elements",,28.0
26,"advanced css, css, css overflow, css text wrapping, lineclamp, overflowanchor, wordbreak",,26.0
27,"css, css element sizing, css layout control, css relative units, css viewport units, media queries, responsive web design",,28.0
28,"crossbrowser compatibility, css, css anchor positioning, css animations, css polyfills, popover api, positionaware ui development",,28.0
29,"css, css animations, css conicgradients, css gradients, css masking, css pseudoelements, dynamic visual effects",,26.0
31,"css, css architecture, css naming conventions, css scope, css specificity, modular css",,30.0
767,"biosuefi configuration, computer assembly, driver installation, hardware compatibility analysis, hardware troubleshooting, pc hardware component selection, windows os installation",,14.0
32,"css, css collapsing margins, css flexbox, css grid, css layout, css positioning, responsive web design",,40.0
33,"startingstyle rule, crossbrowser compatibility, css, css animations, css transitions, element visibility management, performant css animations",,28.0
34,"browser developer tools, css, css cascade, css properties, css syntax, frontend development, html",,81.0
35,"counterincrement property, counterreset property, css, css content property, css counters, css pseudoelements, html",,28.0
36,"css, css animations, css transforms, css transitions, html, user interface development",,48.0
37,"alignitems, css, css flexbox, css layout, flexbox alignment, flexbox axis model, justifycontent",,26.0
38,"css, css pseudoclasses, css selectors, dynamic content highlighting, html, scroll spy implementation, user interface development",,53.0
39,"css, css color gamuts, css color manipulation, css color mixing functions, css color spaces, css relative colors",,16.0
40,"css, css boxshadow, css gradients, css layout, css positioning, frontend development",,47.0
41,"css animation, css keyframes, css pseudoclasses, css timing functions, css transforms, responsive design, ui animation techniques",,25.0
42,"css, css flexbox, css grid, readingflow, responsive web design, source order vs. visual order, web accessibility",,28.0
43,"cascading style sheets, css anchor positioning, css carousel implementation, css custom select styling, css mixins, css view transitions api",,0.0
44,"css, css all property, css containing blocks, css gradients, css masking, css scroll containers, css userselect property",,14.0
