job_id,skills
job_1,"php, laravel, vue, mysql, redis, memcached, unit testing"
job_2,"using python, using react, using vue.js, using html, using css, using javascript, using mysql, using postgresql, using git, using fastapi, using sqlalchemy, using docker, using kubernetes, using aws/azure/gcp"
job_3,"using java, using kotlin, using spring boot, using angular, using react, using neo4j, using mysql, using aws, designing restful apis"
job_4,"using javascript, using aws, managing aws ci/cd, using node.js, using react.js, using angular.js, using css frameworks"
job_5,"using typescript, using node.js, using aws sam, using aws cloudformation, using aws lambda, using mysql, building rest apis, using docker, writing unit tests, optimizing performance, applying object-oriented programming, applying solid principles, applying security best practices"
job_6,"react, angular, spring boot, java, graalvm, nodejs, python, .net, quarkus, django, express.js, sql, nosql, kafka, zookeeper, aws, eks, ecs, fargate, lambda, rosa, cloudfront, api gateway, route53, aurora, rds, dynamodb, sqs, sns, kinesis, cloudwatch, x-ray, codebuild, codedeploy, codepipeline, codecommit, tekton, s3"
job_7,"developing hubspot themes, developing hubspot modules, developing hubspot templates, using hubdb, using github, using hubspot apis, using rest apis, authenticating with oauth, using cloudwatch"
job_8,"java, spring boot, docker, kubernetes, azure, gcp, debugging, logging, monitoring"
job_9,"leading, developing java applications, managing cross-functional teams, collaborating, designing cloud-native solutions, implementing devops, ensuring software performance"
job_10,"developing java applications, using php, using mysql, using apache, using nginx, using haproxy, using javascript, using jquery, using html5, using css3, using wordpress, using angular, using docker, using kubernetes, using openshift, developing apis, using rest, using soap, using wsdl, working with cloud servers, working with on-premise servers"
job_11,"developing ios applications, using swift, using objective-c, using geolocation services, using bluetooth technologies, applying ios frameworks, applying ios apis, writing xctests, writing xcuitests, applying mvc, applying mvvm"
job_12,"developing ios applications, swift, objective-c, xcode, core data, core animation, uikit"
job_13,"developing ios, using swift, using objective-c, using geolocation apis, using bluetooth apis, applying mvc, applying mvvm, using xctest, using xcuitest"
job_14,"using sql, creating power bi dashboards, performing data modeling, integrating apis, editing html, managing wordpress, automating with python"
job_15,"analyzing data, developing reports, using sql, visualizing data, building etl pipelines, using python, managing databases"
job_16,"sql, data warehousing, data mining, olap, etl, microstrategy, power bi, oracle bi, ssrs, ssis"
job_17,"using reactjs, using javascript, using html, using css, using mobx, using redux, using sql, using bootstrap, using git, using jquery, using sass"
job_18,"using typescript, using node.js, using aws sam, using aws cloudformation, using aws lambda, using mysql, building rest apis, using docker, performing unit testing, optimizing performance, applying oop, applying solid principles, implementing security best practices"
job_19,"analyzing application code, optimizing apis, performing production updates, applying architectural standards, implementing ui/ux designs, coaching software engineers, documenting development procedures, leading teams, c#, .net"
job_20,"using laravel, using php, using mysql, using html, using css, using javascript, building restful apis, using mvc architecture, using git, using vue.js, using react, deploying applications"
job_21,"using wordpress, using elementor, using elementor pro, implementing figma designs, writing html, writing css, writing javascript, optimizing website performance, managing website backups, using git"
job_22,"php, sql, using mvc frameworks, using php frameworks (laravel/codeigniter/cakephp), integrating data storage solutions, building cms, authenticating users, authorizing users, using git, using svn"
job_23,"using node.js, developing restful apis, developing graphql apis, managing aws lambda, managing aws dynamodb, managing aws s3, managing aws api gateway, managing aws cloudwatch, managing aws ecs, using git, using postgresql, using mysql"
job_24,"leading, managing, coaching, mentoring"
job_25,"administering windows servers, configuring routers, configuring switches, managing firewalls, using vmware, using hyper-v, managing active directory, managing azure active directory, managing exchange online, managing office 365"
job_26,"can communication, diagnosing encryption issues, ecu programming, troubleshooting, integrating automotive systems, documenting technical solutions"
job_27,"developing html, developing css, developing javascript, developing php, using wordpress, server management, troubleshooting zoom, using google workspace, using lms"
job_28,"drupal, php, postgresql, mysql, git, drush, composer, linux, api, azure, docker"
job_29,"c#, .net framework, sql, writing sql queries, react, javascript, using git, agile development, jira"
